headline,link,news
Tesla engineer defends 'Full Self-Driving' name at crash trial,https://www.reuters.com/legal/tesla-engineer-defends-full-self-driving-name-crash-trial-2023-10-05/,"SAN FRANCISCO, Oct 5 (Reuters) - A Tesla (TSLA.O) engineer in court on Wednesday rejected a lawyer's suggestion that the company named its driver-assistant feature ""Full Self-Driving"" because it wanted people to believe that its systems had more abilities than was really the case. The electric-vehicle maker is defending itself at the first U.S. trial over allegations that Tesla's Autopilot feature led to a death. The lawsuit, filed in a California state court, alleges the Autopilot system caused owner Micah Lee’s Model 3 to suddenly veer off a highway east of Los Angeles at 65 miles per hour (105 kph), strike a palm tree and burst into flames, all in the span of seconds. The 2019 crash killed Lee and seriously injured his two passengers. The lawsuit accuses Tesla of knowing that Autopilot and other safety systems were defective when it sold the car. Tesla denies the claims, saying it is not even clear whether Autopilot was engaged at the moment Lee’s car crashed. The EV maker has been testing and rolling out its Autopilot and more advanced Full Self-Driving (FSD) system, which Chief Executive Elon Musk has touted as crucial to his company's future but which has drawn regulatory and legal scrutiny. The 37-year-old Lee bought Tesla's “full self-driving capability package” for $6,000 for his Model 3 in 2019. At that time, the FSD package performed functions such as maintaining distance from a vehicle in front and keeping the car within the lane, Tesla engineer Eloy Rubio Blanco testified in court on Wednesday. The automaker later added more advanced features to the system. During his testimony, Rubio rejected a suggestion from Lee's attorney that the company chose the name ""Full Self-Driving"" because it hoped the public would think its vehicles had more features. ""Do I think our drivers think that our vehicles are autonomous? No,"" Rubio said, according to a trial transcript seen by Reuters. However, Rubio also acknowledged that Tesla vehicles sold in 2019 might have “latent defects” due to the complexity of the vehicle software. He said Tesla's driver-assistant system ""has a series of limitations,"" which is why a driver should override the system when needed. For example, he said an object might be detected inaccurately, leading the car to decelerate. In certain situations, he said, the automatic braking might be insufficient to avoid a collision. Tesla asked that Rubio's testimony be kept private due to trade secrets. The judge ejected that request, though he shut down the court's live audio feed during Rubio's appearance."
UAW and Ford Motor make progress in labor negotiations,https://www.reuters.com/business/autos-transportation/uaw-ford-motor-make-progress-labor-negotiations-2023-10-05/,"Oct 5 (Reuters) - The United Auto Workers (UAW) and Ford Motor (F.N) have narrowed their differences on pay increases after a new offer from the automaker amid ""really active"" talks, people familiar with the bargaining among the Detroit Three automakers and the union said on Wednesday. UAW President Shawn Fain plans to update the union's 150,000 members at Ford, General Motors (GM.N) and Chrysler parent Stellantis <STLAM.MI? on Friday, a person briefed on the union's plans said. As the union's strike against the 'Detroit Three' enters its 21st day, here is a timeline of events beginning with the election of Fain in March:"
"UAW, automakers signal progress after days of stalemate, sources say",https://www.reuters.com/business/autos-transportation/gm-estimates-costs-uaw-strike-through-sept-30-200-million-2023-10-04/,"DETROIT, Oct 4 (Reuters) - Negotiators for the United Auto Workers and Ford Motor (F.N) have narrowed their differences on pay increases after a new offer from the automaker amid ""really active"" talks, people familiar with the bargaining among the Detroit Three automakers and the union said on Wednesday. UAW President Shawn Fain plans to update the union's 150,000 members at Ford, General Motors (GM.N) and Chrysler parent Stellantis (STLAM.MI) on Friday, a person briefed on the union's plans said. It is not clear whether Fain will order a fresh round of walkouts, or declare sufficient progress has been made to delay strikes at additional plants. In addition to Ford, talks with Chrysler parent Stellantis (STLAM.MI) and other automakers and the UAW have been active in recent days, sources said. Stellantis declined to comment. Ford said on Tuesday it had made a ""comprehensive"" new offer that included a ""more than 20% general wage increase, not compounded"" with a double-digit increase in the first year. Ford did not elaborate. That proposal, however, when combined with cost-of-living adjustments previously offered by the automaker, could bring the total wage increase offer close to 30% over the life of the contract, people familiar with the situation said. However, the UAW and Ford have not announced agreements on other, significant issues including pay and union representation at future battery plants, and the union's push for a return to retirement plans that assure a defined level of benefits. Ford Chief Financial Officer John Lawler said Friday the automaker's retirement offer would assure UAW workers could retire with $1 million in savings. But in a sign the Detroit automakers are still bracing for a lengthy struggle, General Motors on Wednesday secured a new $6 billion line of credit and estimated the cost of the United Auto Workers strike was $200 million during the third quarter, a company spokesman said. The targeted strike against the Detroit Three automakers began on Sept. 15 and is now in its 20th day. GM Chief Financial Officer Paul Jacobson told CNBC the line of credit was ""prudent"" given statements from some UAW officials ""that they intend to drag this on for months."" He said GM has made a record contract offer and said it needs a deal that puts it ""on par with our competitors."" The union has struck two GM assembly plants and 20 parts distribution centers. The strike cost at GM reflects 16 days in which production was stopped at one assembly plant in Wentzville, Missouri, for midsized pickup trucks and vans. It also reflects the strike at GM parts facilities and knock-on impacts including a production halt at a GM car plant in Kansas due to a lack of parts. The indicated average cost of $12.5 million a day for General Motors from its filing Wednesday could rise sharply if the UAW shuts down more vehicle production in the weeks ahead. Against that backdrop, GM said in a securities filing it has locked in the new, $6 billion line of credit through October 2024. JP Morgan (JPM.N) and Citibank (C.N) are listed as joint lead arrangers for the deal. Ford secured a $4 billion line of credit in August, ahead of the Sept. 14 UAW contract expiration. GM's new line of credit will bolster its balance sheet against a protracted strike that could widen to cut off production of its most profitable vehicles: large Chevrolet and GMC pickup trucks and large SUVs such as the GMC Yukon and Cadillac Escalade. GM shares ended down about 1% on Wednesday afternoon. The additional funds will require GM to maintain at least $4 billion in global liquidity and $2 billion in U.S. liquidity. The terms of the credit agreement also restrict GM from mergers or sales of assets and limits on other, new debt. The UAW said on Monday it presented a new contract offer to GM. GM, in turn, said despite the offer, ""significant gaps remain."" The automaker has been forced to lay off 2,100 workers at five plants in four states. Ford said Wednesday it was laying off another 400 workers in Michigan starting Thursday because of the strike after previously furloughing 930 workers, and Stellantis 370 workers in Ohio and Indiana because of the strike. Meanwhile, nearly 30% of auto parts makers surveyed by an industry trade group said they have laid off some workers due to the UAW strikes. Another 60% expect more layoffs by mid-October if the walkouts continue, the Motor Equipment Manufacturers Association said."
Ex-Tesla factory worker loses bid for new trial in race bias case,https://www.reuters.com/legal/no-new-trial-ex-tesla-factory-workers-racial-harassment-case-judge-rules-2023-10-04/,"Oct 4 (Reuters) - A Black former factory worker for Tesla lost his bid on Wednesday for a third trial in his race discrimination lawsuit against the electric carmaker, after a California federal judge rejected his claims that the company's lawyers had engaged in misconduct and tainted his trial. U.S. District Judge William Orrick in San Francisco in a written order upheld a $3.2 million verdict that a jury awarded to plaintiff Owen Diaz in April, denying his motion for a new trial while also rejecting Tesla's bid to cut the award in half. The decision staves off another lengthy trial for the electric carmaker but also draws new attention to the case, one of several to allege rampant racial harassment at Tesla's flagship Fremont, California assembly plant. The most recent was filed by U.S. Equal Employment Opportunity Commission last week. In upholding the verdict, Orrick said it was justified ""in light of the endemic racism at the Tesla factory and Tesla’s repeated failure to rectify it."" Diaz, a former elevator operator, claimed he was subjected to daily racist slurs and graffiti and that Tesla ignored his complaints. His lawyers had argued that Tesla's legal team asked improper questions, baselessly accused a witness of lying and made misleading statements to the jury during a five-day trial earlier this year. Orrick said any misconduct by the company's lawyers did not so permeate the entire trial to have improperly influenced and prejudiced the jury. Diaz had been awarded $137 million by a different jury in 2021, but Orrick then ruled that verdict was excessive. The judge ordered the second trial to determine damages after Diaz turned down a lower payout of $15 million. Tesla did not respond to a request for comment. Lawrence Organ, a lawyer for Diaz, said he was considering an appeal and expects Tesla to file an appeal seeking to lower the award. Organ said that despite losing the bid for a new trial, the $3.2 million award was large for a race discrimination case and demonstrated the severity of the harassment alleged by Diaz. “Courts don’t typically uphold large, multimillion-dollar awards in these cases, so from that standpoint this is clearly a victory for Diaz and for civil rights,” Organ said. Orrick barred both sides from presenting new evidence or testimony at the second trial, which took place in March. Diaz claimed Tesla's lawyers violated that directive by questioning him and other witnesses about alleged altercations between Diaz and other workers, which had not come up at the first trial. Diaz denies those incidents took place. Tesla has said it does not tolerate discrimination and takes complaints from workers seriously. The company has also denied wrongdoing in several other lawsuits claiming employees at the Fremont plant and other factories and service centers have faced racial or sexual harassment. Those cases include a proposed class action by Black workers and a lawsuit by a California state agency alleging widespread race discrimination at the Fremont plant, which Tesla claims was politically motivated. Last week, Tesla was sued by the EEOC, which claims that since 2015 Black factory workers have routinely been subjected to racist slurs and graffiti and retaliated against for complaining about the harassment. The EEOC sued Tesla under the federal law barring workplace discrimination, which caps damages at $300,000 per worker. The class action and the state agency's lawsuit allege violations of California law, which has no caps. Diaz had sued Tesla under a different federal law barring race discrimination in contracts, including employment contracts, which also does not cap damages."
"From Detroit Three automakers to healthcare, US labor unions flex muscle",https://www.reuters.com/markets/us/detroit-three-automakers-healthcare-us-labor-unions-flex-muscle-2023-10-04/,"Oct 4 (Reuters) - A tight U.S. labor market, the expiry of union contracts and high living costs have led to tough negotiations for pay hikes and benefits from workers and triggered strikes and protests across industries. Nearly 309,700 workers have been involved in work stoppages and strikes through August this year, according to preliminary data from the U.S. Bureau of Labor Statistics, putting 2023 on track to becoming the busiest year for strikes since 2019. Here are some sectors and companies that faced tough negotiations in 2023: Hollywood's writers union struck a tentative deal with the Alliance of Motion Picture and Television Producers in late September after five months of failed negotiations. Film and television writers had walked off the job in May over compensation, staffing and residual payments, among other issues. The striking writers were later joined by the SAG-AFTRA actors union, which remains on strike. Negotiators for striking Hollywood actors resumed contract talks on Monday with representatives of major studios, television networks and streaming services AUTOMOTIVE The United Auto Workers (UAW) union has expanded its ongoing strike against the Detroit Three automakers - General Motors (GM.N), Ford Motor (F.N) and Chrysler parent Stellantis (STLAM.MI). The coordinated strike, which began after the earlier contracts expired on Sept. 15, initially targeted three assembly plants in Michigan, Ohio and Missouri. About 4,000 workers represented by UAW reached an agreement with Volvo Group-owned Mack Trucks late on Sunday to avoid a strike. About 98% of the truck company's workers had authorized a strike last month. Teamsters union workers at United Parcel Service (UPS.N) ratified a new five-year contract in August, a deal that raises pay, eliminates a two-tier wage system for drivers, provides another paid holiday and ends forced overtime. FedEx (FDX.N) pilots have been involved in a standoff with the parcel delivery firm over wages and legacy pensions. Pilots rejected a tentative deal in July and negotiations are expected to restart. Pilots at several airlines including American Airlines (AAL.O), Delta Airlines (DAL.N), United Airlines Holdings (UAL.O), Spirit Airlines (SAVE.N) and Jetblue Airways (JBLU.O) negotiated new job contracts this year. Members of some unions like the Southwest Airlines Pilots Association have voted to authorize a strike if a new contract is not reached. Spirit AeroSystems (SPR.N) negotiated a new contract to end a strike that led to a week-long work stoppage at its plant in Wichita, Kansas. U.S. steel producer Cleveland-Cliffs (CLF.N) has reached a tentative agreement with the United Steelworkers union on a new three-year labor agreement for its Northshore mining operations. U.S. Steel (X.N), which is reviewing multiple proposals ranging from partial acquisition to an entire buyout, is embroiled in a tussle with the United Steelworkers union. The company's unionized workers say they essentially have the power to veto any transaction they do not approve of. Unions representing roughly 53,000 Las Vegas workers on Tuesday kicked off negotiations with hotel and casino operators over a new five-year contract. Members of the union had in September voted to authorize a city-wide strike. Last week, workers at three Detroit casinos - MGM Grand Detroit, Hollywood at Greektown and MotorCity - voted in favor of authorizing a strike at all three locations if a new contract agreement isn't reached. The Detroit Casino Council (DCC), which represents the workers, could call for strikes as soon as mid-October, when contracts expire. More than 3,000 workers at more than 150 Starbucks (SBUX.O) stores in the U.S. held strikes in June, following claims the company had banned Pride Month decorations at some of its cafes.  read more   read more  Thousands of Los Angeles-area hotel staffers went on a three-day strike in July over improved wages, benefits and working conditions. Union leaders representing the workers have threatened further walkouts. Tens of thousands of nurses and other healthcare workers at Kaiser Permanente launched a planned three-day strike on Wednesday, after negotiations failed to meet the union deadline for reaching a settlement regarding a new contract covering nurses, medical technicians and support staff. The work stoppage marks the largest strike ever in the U.S. medical industry. More than 7,000 nurses went on a three-day strike in New York City over staffing levels and pay hikes in January. Unions representing cannabis workers have also increased pressure on companies in the sector this year. Workers at Green Thumb Industries' (GTII.CD) Chicago-area RISE dispensaries went on a 13-day unfair labor practices (ULP) strike in April, which was the longest ULP strike at a cannabis retailer in U.S. history. Labor unions secured new contract agreements at multistate operator-owned cannabis dispensaries in Illinois and in New Jersey in July. Unionized workers at Phillips 66's (PSX.N) refinery in Roxana, Illinois, ratified a contract with the refiner in late-stage negotiations, averting a potential strike. The union had been in talks with the refiner since summer, when it rejected a company proposal and sought additional benefits for holiday and vacation hours and pay, among other improvements."
"Ford makes new offer in US labor dispute, GM furloughs more workers",https://www.reuters.com/business/autos-transportation/gm-furloughs-another-163-workers-due-uaw-strike-2023-10-03/,"Oct 3 (Reuters) - Ford Motor (F.N) said on Tuesday it had made a new comprehensive contract offer in an effort to resolve a 19-day old targeted strike by the United Auto Workers but said a dispute over battery plants remained unresolved. The Dearborn, Michigan automaker said the new offer boosted wages for temporary workers, increased company 401(k) contributions and had further shrunk time needed to get to the top wage rate. UAW President Shawn Fain on Friday expanded the first-ever simultaneous strike against the Detroit Three to a GM Lansing, Michigan, plant and a Ford Chicago assembly plant, but Stellantis was spared after last-minute concessions. Ford said Tuesday the UAW ""has taken a hard line on battery plants"" after CEO Jim Farley accused the UAW of holding the contract ""hostage"" over the fate of those plants, a charge the union rejected. The UAW says ""job security"" in the electric vehicle transition remains an open issue. The UAW declined comment Tuesday on Ford's new offer. The UAW said on Monday it presented a new contract offer to General Motors (GM.N). GM said despite the offer ""significant gaps remain."" The UAW also held a new round of bargaining with Chrysler-parent Stellantis (STLAM.MI) Monday. Earlier Tuesday, GM said it furloughed 163 UAW workers at GM’s Toledo Propulsion Systems plant that makes transmissions for both the automaker's Missouri and Lansing Delta Township assembly plants that are on strike. GM said in total it has been forced to lay off 2,100 workers at five plants in four states including halting production at its Kansas car plant because of strike impacts. On Monday, GM and Ford said they laid off another 500 workers at four Midwestern plants because of the impact of the strike. Stellantis has furloughed nearly 370 workers in Ohio and Indiana. Anderson Economic Group on Monday estimated total losses from the first two weeks of the strike at $3.9 billion, including $325 million in wages, $1.12 billion in losses for the Detroit Three, $1.29 billion for suppliers and $1.2 billion for dealer and customer losses."
Tesla bashes $229 million fee bid for plaintiffs in board pay case,https://www.reuters.com/legal/government/column-tesla-bashes-229-million-fee-bid-plaintiffs-board-pay-case-2023-10-03/,"Oct 3 (Reuters) - A brewing fee dispute in Delaware Chancery Court poses a novel question: Can stock options be worth one price to the company that issued them and another to the board members who received them? Last July, when Tesla’s outside directors agreed to settle a shareholder derivative lawsuit accusing board members of granting themselves outsized compensation, the deal was billed as being worth a staggering $919.4 million — the biggest-ever recovery in a shareholder derivative suit and the second-highest settlement in the history of Chancery Court. Nearly half of that $919 million was in the form of stock options that had been awarded to Tesla board members but would be returned to the company under the terms of the settlement. Those returned options, according to the shareholder lawyers who negotiated the settlement, are worth $458 million. Another $184 million of the total value of the settlement, according to the plaintiffs firms, was in three years of unpaid compensation, from 2020 to 2022, that board members agreed to forgo entirely. In September, plaintiffs' lawyers from Bleichmar Fonti & Auld, Fields Kupka & Shukurov and McCarter & English asked Delaware Chancellor Kathaleen McCormick to award them fees of $229.6 million, or 25% of the $919 million monetary value of the settlement. The request worked out to a lodestar rate of more than $10,000 per hour, but the shareholder firms said their jumbo fee request was justified by the historic results they obtained. Tesla thinks otherwise. In a brief made public on Monday, the company argued that shareholder lawyers deserve only $63.5 million — less than one-third of their requested fee — because the settlement, according to Tesla, is actually only worth $295 million, not the $919 million plaintiffs claimed. Huh? Plaintiffs' lawyers, after all, did not ask for fees based on the amorphous value of corporate governance reforms or additional disclosures in an M&A proxy filing. Their request was based on money that would either flow back to Tesla — in the form of $276.6 million in actual Tesla shares and $458 million in stock options — or would be retained by Tesla because the director defendants had agreed to forgo three years of compensation. Nor did plaintiffs' lawyers pull their stock options valuation out of thin air: The number was calculated by an outside expert based on a widely accepted methodology that took into account Tesla’s share price on the day of the tentative deal and the cost of the options to the director defendants. Indeed, in a Sept. 22 brief supporting the settlement, Tesla’s outside directors did not dispute plaintiffs’ asserted $458 million valuation of the options, even as they took considerable umbrage at plaintiffs’ description of their conduct. (They argued that Tesla’s system of compensating directors with stock options actually aligned board members with shareholders.) But Tesla told McCormick in its newly public brief that stock options can simultaneously be worth vastly different amounts of money to the company that granted them and to the board members who received them. And regardless of the value of the options to the board members who agreed to return them to the company, Tesla said, the returned options are worth only about $19 million to the corporation itself. “The value of an option in the hands of a director defendant is not the same as the value of that option in the hands of Tesla,” wrote the company’s lawyers at Bayard. “Tesla cannot exercise the option and capture the difference between the settlement stock price and the strike price of an option. The returned options will just be canceled as part of the settlement.” Those cancellations, Tesla said, will reverse accounting charges of about $19 million that were entered when the company issued the options. And that, according to Tesla, is the entire value of the returned options as far as the corporation is concerned. The directors’ returned options, as Tesla tells the tale, will simply go back into a big pool of authorized but unissued options — and Tesla already has all of the options it needs to recruit new talent and to meet its obligations under its executive incentive plan. Tesla also disputed plaintiffs’ $184 million valuation of the compensation that its outside directors agreed to forgo as part of the settlement. That number was based on unissued stock options, but Tesla said it was pure speculation that directors would have been issued any additional options after the board voted to halt automatic grants in 2020. Shareholder firms contended that they should be credited for averting any opportunity for the board to issue retrospective awards to outside directors who went without pay for three years when the board halted stock option grants. Tesla said the plaintiffs should not receive fees based on that hypothetical. Remember, Tesla is the beneficiary of the settlement with its board members because the case is a shareholder derivative action, in which shareholders stepped into the shoes of the corporation to prosecute claims against board members. Tesla said that from its perspective, the deal is worth just$295 million — the value of the actual shares directors agreed to return to the company plus the $19 million in options grant accounting charges that will be canceled when the options are returned. Plaintiffs' lawyers, according to Tesla, are entitled to no more than 21.5% of that total, based on the stage of the litigation when the case settled and time and effort shareholders dedicated to the case. Shareholder firms had pointed in their brief requesting fees to a whopper $267 million fee awarded in August to plaintiffs' lawyers who obtained a $1 billion cash settlement with Dell board members. Tesla said in its opposition brief that the billing records underlying the Dell fee, which amounted to about 27% of the $1 billion settlement, show why the shareholder firms in its case deserve less. Javier Bleichmar of Bleichmar Fonti declined to comment on Tesla’s brief opposing shareholders’ fee request. Plaintiffs are scheduled to file their response on Friday. Neither Tesla nor its lawyers from Bayard responded to my email query on the fee dispute. Read more: Lawyers who sued Tesla board for excess pay want $10,000 an hour Whopper $267 million fee award in $1 billion Dell case shows why Delaware is different Tesla directors pay $735 mln to settle lawsuit over excess compensation"
"US new auto sales likely rose in Q3, but UAW strikes may pose speed bump",https://www.reuters.com/business/autos-transportation/us-new-auto-sales-likely-rose-q3-uaw-strikes-may-pose-speed-bump-2023-10-02/,"Oct 2 (Reuters) - U.S. new vehicle sales likely rose in the third quarter on improving supply and steady demand, but a strike by autoworkers has muddied the outlook for the ""Detroit Three"" for the rest of the year, analysts said. General Motors (GM.N) was set to remain the top-selling automaker with 680,009 vehicles sold in the quarter ended September, while second-placed Toyota (7203.T) was expected to finish the quarter at 583,661 vehicle sales, according to car shopping website Edmunds. But that may change after the United Auto Workers (UAW) union launched unprecedented, coordinated strikes against GM, Ford (F.N) and Stellantis (STLAM.MI) last month. ""The production disruptions caused by the strike will have ramifications for potential sales levels moving through the fourth quarter,"" S&P Global Mobility said in a note. The UAW union initially targeted one assembly plant at each of the Detroit Three automakers that make some of their most profitable models and later expanded the coordinated strike, citing a lack of progress in talks. S&P forecast daily losses from the strike at the three plants at over 4,000 units, warning further walkouts may lead to cumulative losses reaching hundreds of thousands of units. The automakers haven't disclosed a financial hit from the strikes so far and September sales are likely to be unscathed given the inventory built up in anticipation of the strike. But analysts have warned that a prolonged, full strike may cost billions of dollars. That may play into the hands of non-unionized automakers such as Tesla (TSLA.O) and foreign brands like Toyota, with the companies grabbing market share from the Detroit Three. Meanwhile, pent-up demand from retail and commercial customers could buoy third-quarter sales. U.S. new vehicle sales likely rose 17% to 3,941,700 units, whereas, the September seasonally adjusted annualized rate is expected to be 15.4 million units, consultants J.D. Power and GlobalData said. Automakers are expected to report quarterly sales in the coming days."
Pirelli's Chinese investors terminate shareholder agreement,https://www.reuters.com/business/autos-transportation/pirellis-chinese-investors-terminate-shareholder-agreement-2023-10-03/,"MILAN, Oct 3 (Reuters) - Pirelli's (PIRC.MI) Chinese investors Sinochem and Silk Road Fund have decided not to extend their agreement to work together on some issues at the tyremaker, the Italian group said on Tuesday. The two investors, which hold stakes of 37% and 9% respectively, had initially signed the shareholder agreement in 2020. As part of it, Silk Road Fund had committed to follow Sinochem's votes at Pirelli shareholder meetings on selected matters for a stake comprising 5% out of their total 9%. The agreement terminated due to its expiry on Sept. 29, Pirelli said in a statement, without providing reasons for the decision. State-owned Sinochem has a separate governance agreement with fellow investor Camfin, the vehicle of Marco Tronchetti Provera, the Italian businessman who has been in charge of Pirelli since 1992 and now holds the role of executive vice chairman. Earlier this year the Italian government used so called ""golden power"" legislation that protects key national assets to impose prescriptions on the proposed renewal of the governance pact between Sinochem and Camfin. Rome's intervention strengthened the influence of Camfin over Pirelli even though it just has a 14.1% stake in the company, the tyre supplier for Formula One motor racing."
Analysis: Detroit's strikes become an industrial 'Survivor' game,https://www.reuters.com/business/autos-transportation/detroits-strikes-become-an-industrial-survivor-game-2023-10-03/,"DETROIT, Oct 3 (Reuters) - The United Auto Workers head into the 19th day of strikes with a bold strategy that places the Detroit Three automakers into a high-stakes game of ""Survivor"" with a weekly decision on which factories the strike will hit next, with layoffs mounting, suppliers hurting and harsh rhetoric from both sides. UAW President Shawn Fain has transformed the rituals of contract talks with General Motors(GM.N), Ford(F.N) and Chrysler parent Stellantis (STLAM.MI) into a high-stakes, made-for-media game. The automakers will look for clues on how to survive in the agreement the union reached on Sunday with Volvo Group-owned (VOLVb.ST) Mack Trucks. For now, the union appears to be in control, although there is pain on both sides. GM and Ford said Monday they were indefinitely laying off another 500 workers at four Midwestern plants, citing the impact of the walkouts. Analysts looking ahead to third-quarter financial results this month are starting to reckon the costs of what the UAW calls ""Stand up strikes."" JP Morgan estimated GM has lost $191 million in operating profit, and Ford $145 million during the quarter. Those are large sums, but not in the context of GM or Ford, which have forecast combined pre-tax profits of up to $26 billion for this year. The daily cost of the strikes is almost certain to rise weekly, JP Morgan added. The real pain will start if the UAW orders walkouts at factories that build Ford, Chevrolet and Ram pickup trucks and large SUVs such GM's Cadillac Escalade. At the current pace, it could take the UAW weeks to get to those factories. ""We have the power to keep escalating and keep taking plants out,"" Fain said in a video address on Sept. 13. ""This is going to create confusion for the companies. This is going to keep them guessing on what will happen next."" Last Friday, the UAW displayed the effectiveness of its strategy of launching limited strikes at all three companies at once, rather than tackling each company one at a time as in the past. Fain was prepared to order walkouts at one assembly plant for each of the three automakers. At the last minute, he decided not to order a strike at a Stellantis factory because the parent of Chrysler offered new concessions minutes before the union president's scheduled Facebook Live address. The previous week, Ford got a pass when it made more favorable job security and inflation protection proposals. UAW workers at GM and Stellantis parts depots walked off the job, while Ford's employees kept shipping parts to dealers. The rules of the game are clear: For automakers to avoid a wider walkout and more lost revenue, they must make new steps toward satisfying union demands by Friday's deadline. ""It is negotiations that are evaluated by the UAW weekly,"" said Harley Shaiken, labor professor at the University of California Berkley. ""Now, if you don't give something that the union wants, you will have another plant on strike."" The CEOs of GM and Ford last week accused Fain of misrepreseting the state of bargaining and spending too much time on television and not enough at the bargaining table. Both stopped short of accusing the UAW of bad faith bargaining, but they both accused Fain of putting the companies and union jobs at risk. ""The UAW is pitting the companies against one another,"" GM CEO Mary Barra said in a statement Friday. ""But it’s a strategy that ultimately only helps the non-union competition."" Ford CEO Jim Farley warned that suppliers to the automaker's Michigan Assembly plant, which builds Bronco SUVs and Ranger pickups, are on a ""knife's edge"" with thousands of jobs at risk. ""What’s really frustrating is that I believe we could reach a compromise on pay and benefits, but so far the UAW is holding the deal hostage over the battery plants,"" Farley said. Ford plans four EV battery plants in the U.S. - three under joint ventures with South Korean battery maker SK On(096770.KS). The fourth would be a wholly-owned facility planned in Marshall, Michigan, to build low-cost lithium-iron batteries with technology from China's CATL.(300750.SZ) Technically, the joint venture plants are separate companies not subject to the labor talks. GM's joint venture battery plants also have separate status and GM has declined to include them in negotiations. Nonetheless, Fain has made an issue of lower wages at the battery joint ventures. The union seeks to avoid a situation where non-union, lower-paid battery plant jobs eventually replace UAW-represented combustion powertrain jobs. What happens next and when is unclear, by design. The UAW was holding new bargaining sessions with GM and Stellantis on Monday. Company bargainers were likely to seek details of the tentative deal the union struck with Mack Trucks, which if ratified will significantly increase wages for almost 4,000 UAW members at the truck maker. The sides agreed just before the Sunday night deadline, not long after Fain on Friday had blasted the truck maker of “following the same tired playbook as many of our other employers.”"
"GM, Ford furlough another 500 workers due to UAW strike",https://www.reuters.com/business/autos-transportation/gm-furloughs-another-160-workers-due-uaw-strike-2023-10-02/,"Oct 2 (Reuters) - General Motors (GM.N) and Ford Motor (F.N) on Monday said they are laying off another 500 workers at four Midwestern plants because of the impact on some of the facilities of the United Auto Workers strike in its 18th day. Separately, the UAW confirmed it presented a new contract offer to GM on Monday. GM said it received the counterproposal ""but significant gaps remain."" The UAW also held a new round of bargaining with Chrysler-parent Stellantis. Ford on Monday said it was furloughing a total of 330 workers at its Chicago Stamping and Lima, Ohio Engine plants, while GM layoffs included 130 at its Parma, Ohio Metal Center and 34 at its Marion, Indiana Metal Center. The UAW on Friday struck GM's Lansing Delta Township assembly plant that makes the Buick Enclave and Chevrolet Traverse SUVs after previously striking at GM's Missouri assembly plant and 18 parts distribution centers. GM last month said it had idled its Fairfax, Kansas, plant because of a parts shortage stemming from the strike, resulting in 2,000 indefinite layoffs. Ford said last month it temporarily laid off about 600 workers at a Michigan auto plant because of the strike. Stellantis has furloughed nearly 370 workers in Ohio and Indiana. UAW President Shawn Fain on Friday expanded the first-ever simultaneous strike against the Detroit Three to a GM Lansing, Michigan plant and a Ford Chicago assembly plant, but Stellantis was spared after last-minute concessions. The UAW said it reached a new labor agreement with Volvo Group's (VOLVb.ST) Mack Trucks covering 4,000 workers just before a Sunday night deadline. The tentative agreement that includes significantly increased wages must still be ratified, the union said. JPMorgan in a research note on Monday estimated the strike has cost GM $191 million and Ford $145 million, but said there was some cause for optimism about a deal, citing reports that the two sides were ""close on pay and benefits."" The GM and Ford CEOs on Friday blasted the UAW, hours after the union escalated the strike. The UAW responded on social media that neither had attended bargaining talks. Anderson Economic Group estimated total losses from the first two weeks of the strike to be $3.9 billion, including $325 million in wages, $1.12 billion in losses for the Detroit Three, $1.29 billion for suppliers and $1.2 billion for dealer and customer losses."
